"Prioritization","contact_tracing_frac","replication","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Random",0,"1 m0-random-0-individuals-weight-0.8-ill_symptomatic-10-0.0",46631,1797,0,0,0
"Random",0.1,"1 m1-random-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",32137,1253,15104,1628,13476
"Age+HH",0.4,"1 m10-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4314,184,5131,511,4620
"Old",0.4,"1 m100-old-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",12188,462,13127,1555,11572
"Old",0.5,"1 m101-old-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",7670,324,10164,1166,8998
"Young",0,"1 m102-young-0-individuals-weight-0.8-ill_symptomatic-10-0.0",54181,2120,0,0,0
"Young",0.1,"1 m103-young-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",40543,1555,8223,954,7269
"Young",0.2,"1 m104-young-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",25007,1010,16630,1687,14943
"Young",0.3,"1 m105-young-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",12512,561,14356,1478,12878
"Young",0.4,"1 m106-young-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",8809,353,11770,1218,10552
"Young",0.5,"1 m107-young-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6269,263,8977,926,8051
"HH",0,"1 m108-household_size-0-individuals-weight-0.8-ill_symptomatic-10-0.0",50408,2052,0,0,0
"HH",0.1,"1 m109-household_size-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",32658,1346,10809,976,9833
"Age+HH",0.5,"1 m11-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3637,145,4031,403,3628
"HH",0.2,"1 m110-household_size-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",16959,714,10038,936,9102
"HH",0.3,"1 m111-household_size-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",7994,380,6994,663,6331
"HH",0.4,"1 m112-household_size-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5535,257,5991,570,5421
"HH",0.5,"1 m113-household_size-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3757,142,4209,403,3806
"Inc. emp.",0,"1 m114-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-10-0.0",46195,1721,0,0,0
"Inc. emp.",0.1,"1 m115-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",27907,1058,10689,1075,9614
"Inc. emp.",0.2,"1 m116-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11863,458,11957,1164,10793
"Inc. emp.",0.3,"1 m117-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",9885,454,11406,1151,10255
"Inc. emp.",0.4,"1 m118-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",6185,236,7776,768,7008
"Inc. emp.",0.5,"1 m119-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3584,164,3863,391,3472
"Old",0,"1 m12-old-0-individuals-weight-0.8-ill_symptomatic-10-0.0",43726,1673,0,0,0
"Inc. sim.",0,"1 m120-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-10-0.0",47436,2004,0,0,0
"Inc. sim.",0.1,"1 m121-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",32192,1286,9590,1157,8433
"Inc. sim.",0.2,"1 m122-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",10468,415,8761,843,7918
"Inc. sim.",0.3,"1 m123-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",4750,197,5348,546,4802
"Inc. sim.",0.4,"1 m124-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5695,243,7534,793,6741
"Inc. sim.",0.5,"1 m125-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3686,148,4075,416,3659
"Random",0,"1 m126-random-0-individuals-weight-0.8-ill_symptomatic-10-0.0",54950,2104,0,0,0
"Random",0.1,"1 m127-random-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",24269,995,11936,1297,10639
"Random",0.2,"1 m128-random-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",15543,622,13700,1495,12205
"Random",0.3,"1 m129-random-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11829,425,14068,1512,12556
"Old",0.1,"1 m13-old-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",42317,1585,5582,896,4686
"Random",0.4,"1 m130-random-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",8106,338,11294,1229,10065
"Random",0.5,"1 m131-random-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6433,281,9407,1029,8378
"Age+HH",0,"1 m132-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-10-0.0",44286,1736,0,0,0
"Age+HH",0.1,"1 m133-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",23364,986,11303,1065,10238
"Age+HH",0.2,"1 m134-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",10397,465,9603,897,8706
"Age+HH",0.3,"1 m135-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5319,247,5869,566,5303
