"Prioritization","contact_tracing_frac","replication","inf_p_shift","contact_tracing_contact_selection_frac","n_days_contact_tracing_isolation","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Random",0,"m0-random-0-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,4842,188,0,0,0
"Inc. emp.",0.2,"m1026-inc_rank_emp-0.2-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,1773,67,1681,205,1476
"Inc. emp.",0.3,"m1053-inc_rank_emp-0.3-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,1864,85,1813,232,1581
"Random",0.4,"m108-random-0.4-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,1247,47,1249,174,1075
"Inc. emp.",0.4,"m1080-inc_rank_emp-0.4-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,923,43,852,110,742
"Inc. emp.",0.5,"m1107-inc_rank_emp-0.5-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,616,34,477,65,412
"Inc. sim.",0,"m1134-inc_rank_sim-0-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,3747,174,0,0,0
"Inc. sim.",0.1,"m1161-inc_rank_sim-0.1-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,4012,171,971,149,822
"Inc. sim.",0.2,"m1188-inc_rank_sim-0.2-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,1398,53,904,109,795
"Inc. sim.",0.3,"m1215-inc_rank_sim-0.3-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,1014,42,1005,127,878
"Inc. sim.",0.4,"m1242-inc_rank_sim-0.4-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,890,30,848,125,723
"Inc. sim.",0.5,"m1269-inc_rank_sim-0.5-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,701,28,599,76,523
"Random",0.5,"m135-random-0.5-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,776,27,730,103,627
"Age+HH",0,"m162-super-spreaders-0-individuals-weight-0.6-ill_symptomatic-5--0.05",-0.05,0.6,5,3703,149,0,0,0
